Politique
RR  5

Numéro    Intitulé              Arrivée    Durée    Priorité
145       Tache145                   124        8           6
146       Tache146                   443        3          10
147       Tache147                   393        9           0
148       Tache148                    81        9           0
149       Tache149                    63        6           3
150       Tache150                   435        4          10
151       Tache151                   297        9          10
152       Tache152                   294        9           3
153       Tache153                   290        7           6
154       Tache154                   290        1          10
155       Tache155                    83        8           1
156       Tache156                   347        1           8
157       Tache157                   202       10           2
158       Tache158                   419        7           2
159       Tache159                    56       10           0
160       Tache160                   230        5           8
161       Tache161                   222        5           1
162       Tache162                   321        5           1
163       Tache163                   236        6           9
164       Tache164                   162        4          10
165       Tache165                    66        6           1
166       Tache166                   399        2           1
167       Tache167                   306        7          10
168       Tache168                   486        3           8
169       Tache169                   446       10           3
170       Tache170                   229        4           2
171       Tache171                    30        5           3
172       Tache172                    41        4           5
173       Tache173                   121        6           6
174       Tache174                   216        2           7
175       Tache175                   472       10           3
176       Tache176                   294        4           2
177       Tache177                   480        5           3
178       Tache178                    52        6           3
179       Tache179                   145        6           1
180       Tache180                   328       10           5
181       Tache181                   461        5           6
182       Tache182                   376        3           0
183       Tache183                   355        2           8
184       Tache184                   495        9           8
185       Tache185                    33        7           2
186       Tache186                   448        4           2
187       Tache187                   334        2           8
188       Tache188                   427        2           1
189       Tache189                    57        8          10
190       Tache190                    20        1           2
191       Tache191                   324        4           8
192       Tache192                   389        6           9
193       Tache193                   298        4           3
194       Tache194                   108        6           8
195       Tache195                    72        4           7
196       Tache196                   441        7           5
197       Tache197                    52        3           5
198       Tache198                   138       10           3
199       Tache199                   185        2           9
200       Tache200                    34        3           2
201       Tache201                   404        8           7
202       Tache202                   262        6           6
203       Tache203                   231        5           7
204       Tache204                    19        5           2
205       Tache205                   219        9           0
206       Tache206                     4        3           7
207       Tache207                   414        5           2
208       Tache208                   465        9          10
209       Tache209                   345        5           4
210       Tache210                   299        6           1
211       Tache211                     9        3          10
212       Tache212                   123        1           7
213       Tache213                   334        4           0
214       Tache214                   282        6           7
215       Tache215                   281        4           5
216       Tache216                   349        6           4
217       Tache217                   298        4          10
218       Tache218                   478        2           9
219       Tache219                   213        6           6
220       Tache220                   133        9           7
221       Tache221                   357        6           3
222       Tache222                    99        6           1
223       Tache223                   403        7           6
224       Tache224                   165        9           2
225       Tache225                   251        2           7
226       Tache226                   352        3           4
227       Tache227                    25        1           3
228       Tache228                   141        6           8
229       Tache229                   266        5           3
230       Tache230                   306        3           4
231       Tache231                    90        1           7
232       Tache232                   423        6           4
233       Tache233                   277        5           7
234       Tache234                   494       10           3
235       Tache235                   108        4           7
236       Tache236                   150        4           6
237       Tache237                   227        1          10
238       Tache238                   222        1           4
239       Tache239                    55        9           4
240       Tache240                   135        9           0
241       Tache241                    50        3           2
242       Tache242                   206        8           1
243       Tache243                   225        8           9
244       Tache244                    65        1           2
245       Tache245                   405       10           8
246       Tache246                   493        5           9
247       Tache247                   188       10           3
248       Tache248                   277        3           3
249       Tache249                   336        1           7
250       Tache250                   177        1           5
251       Tache251                    34        7           8
252       Tache252                    54        1          10
253       Tache253                   371        7           6
254       Tache254                   142        5           6
255       Tache255                   213        6           4
256       Tache256                   408        3           8
257       Tache257                    18        7           4
258       Tache258                     0        9           5
259       Tache259                   412        9           9
260       Tache260                   205        1           3
261       Tache261                   394        7           0
262       Tache262                    33       10           0
263       Tache263                   448        8           5
264       Tache264                    38        5          10
265       Tache265                   140        4           7
266       Tache266                   314        7           9
267       Tache267                    84        6           0
268       Tache268                   420        2           9
269       Tache269                   407        6           8
270       Tache270                   214        8           2
271       Tache271                   487       10          10
272       Tache272                   307        9           1
273       Tache273                   188        6           1
274       Tache274                   189        8           1
275       Tache275                    45        6           1
276       Tache276                    40        1           1
277       Tache277                    45        6           4
278       Tache278                   310       10          10
279       Tache279                    86        3           9
280       Tache280                   409        8           1
281       Tache281                   283       10           5
282       Tache282                   138        8           2
283       Tache283                   135        4           2
284       Tache284                   274        7           8
285       Tache285                   278        9           6
286       Tache286                   105        7          10
287       Tache287                   499        2           3
288       Tache288                    34        9           5
289       Tache289                   243        3           2
290       Tache290                   492        7           2
291       Tache291                    80        2           7
292       Tache292                   422        3           8
293       Tache293                   354        2           9
294       Tache294                   266       10           6
295       Tache295                   448        6           2
296       Tache296                    23        8           6
297       Tache297                    78        7           5
298       Tache298                    34        8          10
299       Tache299                   393        4           4
300       Tache300                    55        4           4
301       Tache301                   178        1           8
302       Tache302                   396        7           4
303       Tache303                    58        3           8
304       Tache304                   127        1           3
305       Tache305                   178        1           2
306       Tache306                   384        4           6
307       Tache307                    62        1           8
308       Tache308                   353        4           2
309       Tache309                    78        6           7
310       Tache310                    19        5          10
311       Tache311                   421       10           3
312       Tache312                     9        4           0
313       Tache313                   140        3           5
314       Tache314                   309        6           2
315       Tache315                    37        1          10
316       Tache316                   448        1           7
317       Tache317                    22        3           5
318       Tache318                    60        1          10
319       Tache319                   136        2           8
320       Tache320                   376        2           0
321       Tache321                   445        6           3
322       Tache322                   486       10           1
323       Tache323                    38        9           5
324       Tache324                   467        2           9
325       Tache325                   459        5           6
326       Tache326                   260       10           3
327       Tache327                   499       10          10
328       Tache328                   468        5           6
329       Tache329                   214        8           6
330       Tache330                   125        6           8
331       Tache331                    43        8           0
332       Tache332                   459        5           0
333       Tache333                   244        4          10
334       Tache334                     3        2           8
335       Tache335                   157        3           0
336       Tache336                   214        6           2
337       Tache337                    89        9           7
338       Tache338                   347        3           7
339       Tache339                   384        7           5
340       Tache340                   144        6           9
341       Tache341                   411        4           1
342       Tache342                    10       10           6
343       Tache343                    96        6           4
344       Tache344                   170        5           1
345       Tache345                   232       10           5
346       Tache346                   189       10           6
347       Tache347                   375        1           3
348       Tache348                   284        5           2
349       Tache349                   259        3           4
350       Tache350                   227        1           2
351       Tache351                   203        9           1
352       Tache352                   392        7           0
353       Tache353                   357        5           0
354       Tache354                   384        1           9
355       Tache355                    45        8           2
356       Tache356                   183        1           0
357       Tache357                   488        9          10
358       Tache358                   204        5           0
359       Tache359                   261        4           3
360       Tache360                   461        7           9
361       Tache361                    80        9           4
362       Tache362                   449       10           2
363       Tache363                    46        5           0
364       Tache364                   480        3           1
365       Tache365                   347        2           5
366       Tache366                   295        3           4
367       Tache367                   449        2           0
368       Tache368                    25        3           6
369       Tache369                   417        5          10
370       Tache370                   359       10           4
371       Tache371                   173        2           2
372       Tache372                   285        4           8
373       Tache373                   366        7           9
374       Tache374                   451        2           9
375       Tache375                   165        4           5
376       Tache376                   130        4          10
377       Tache377                   290        6           2
378       Tache378                    21        1          10
379       Tache379                    84        1           5
380       Tache380                   278        6          10
381       Tache381                   408        7           9
382       Tache382                   423        2           2
383       Tache383                   357        4           8
384       Tache384                   434        5           0
385       Tache385                    84        6           8
386       Tache386                   131       10           6
387       Tache387                   259        7           9
388       Tache388                   329        4           6
389       Tache389                   403        3           6
390       Tache390                   442        9           7
391       Tache391                   336        8           5
392       Tache392                   322        9           2
393       Tache393                   269        1           9
394       Tache394                    59        2           5
395       Tache395                   360       10           4
396       Tache396                   176        5           9
397       Tache397                    63        7           0
398       Tache398                   224        8           9
399       Tache399                   325        1           3
400       Tache400                   144        7           7
401       Tache401                   468        4           7
402       Tache402                   198        5           4
403       Tache403                   337        7           1
404       Tache404                   148        7           7
405       Tache405                   296        9           1
406       Tache406                    57        1           0
407       Tache407                   288        3           5
408       Tache408                   322        1           9
409       Tache409                   100        2           1
410       Tache410                   435        9           3
411       Tache411                   267        5           4
412       Tache412                   427        3           1
413       Tache413                   393       10           6
414       Tache414                   199        2           1
415       Tache415                    22        7           3
416       Tache416                   186        5           1
417       Tache417                   341        7           5
418       Tache418                   328        8           2
419       Tache419                   183        3           7
420       Tache420                   280        6           1
421       Tache421                   428       10           9
422       Tache422                   186        3           9
423       Tache423                    79        9           0
424       Tache424                   320       10           1
425       Tache425                    25        9           0
426       Tache426                   213        5           2
427       Tache427                    17        1           8
428       Tache428                    97        2           6
429       Tache429                   252        2           5
430       Tache430                   180        1           6
431       Tache431                   179        1           4
432       Tache432                   488        5           7
433       Tache433                   160        6           9
434       Tache434                   463        4           5
435       Tache435                    31        7           8
436       Tache436                   470        4           1
437       Tache437                   228        1           3
438       Tache438                   370        3           1
439       Tache439                   393       10           5
440       Tache440                   315       10           4
441       Tache441                   349        9          10
442       Tache442                   270        1           9
443       Tache443                   381        6           1
444       Tache444                   130        6           5
445       Tache445                   473        4           4
446       Tache446                   368       10           8
447       Tache447                    60        2          10
448       Tache448                   338        2           8
449       Tache449                   469        5           7
450       Tache450                   476        1           6
451       Tache451                   483        2           7
452       Tache452                   138        6           1
453       Tache453                    18        1           9
454       Tache454                    72        4           1
455       Tache455                   410        6           9
456       Tache456                   204        4           7
457       Tache457                   453        3           4
458       Tache458                   144        8           5
459       Tache459                   234        3           3
460       Tache460                   335        6          10
461       Tache461                   343        2           0
462       Tache462                   189        7           6
463       Tache463                   169        6           5
464       Tache464                   277        5           0
465       Tache465                   219        5          10
466       Tache466                   490        1           5
467       Tache467                   262        3           0
468       Tache468                   360       10           8
469       Tache469                   372        9           1
470       Tache470                    68       10           3
471       Tache471                   415        3           3
472       Tache472                   198        3           4
473       Tache473                    12        1           0
474       Tache474                   118        2           5
475       Tache475                    99        3           0
476       Tache476                   266        8           8
477       Tache477                   464        2           6
478       Tache478                   108        8           3
479       Tache479                   277        3           4
480       Tache480                   340        5           0
481       Tache481                    54        1           9
482       Tache482                   476        8           2
483       Tache483                    57        2           6
484       Tache484                   407        2           0
485       Tache485                   407        3           3
486       Tache486                   343        6           8
487       Tache487                   483        7           2
488       Tache488                   210        5           3
489       Tache489                   288        1           1
490       Tache490                    89        6           2
491       Tache491                   375        2           3
492       Tache492                    67        2           2
493       Tache493                   158        9           5
494       Tache494                   321        9           9
495       Tache495                   491        5           7
496       Tache496                   309        3           3
497       Tache497                   384        3           4
498       Tache498                   499        3           9
499       Tache499                   157        4           9
500       Tache500                   486        2           8
501       Tache501                   458        8          10
502       Tache502                   443        3           8
503       Tache503                    82        9           3
504       Tache504                   118       10           4
505       Tache505                   391        2           4
506       Tache506                   459        3           4
507       Tache507                   187        4           6
508       Tache508                   358       10           4
509       Tache509                   305        3           2
510       Tache510                   484       10           7
511       Tache511                   257        2           6
512       Tache512                   481        8           8
513       Tache513                   202        7           0
514       Tache514                   159        9           8
515       Tache515                    43        8           8
516       Tache516                   163        3           0
517       Tache517                   295        5           4
518       Tache518                   429       10           5
519       Tache519                   181        1          10
520       Tache520                   319        5           0
521       Tache521                   356        9          10
522       Tache522                   119        6           3
523       Tache523                   370        8           1
524       Tache524                   219        9           4
525       Tache525                   327        4           8
526       Tache526                   445        1           3
527       Tache527                   327        6           5
528       Tache528                   393        9           7
529       Tache529                   332        2           4
530       Tache530                   349        7           2
531       Tache531                   230        6           7
532       Tache532                   373        1          10
533       Tache533                   258        3           6
534       Tache534                   117        8           9
535       Tache535                    76        7           0
536       Tache536                     6        1           1
537       Tache537                   355       10           5
538       Tache538                   389       10           8
539       Tache539                   414        9           9
540       Tache540                   498        9           3
541       Tache541                   284        7          10
542       Tache542                   165        1           7
543       Tache543                    19        7           2
544       Tache544                   168        7          10
545       Tache545                    73        8           8
546       Tache546                   485       10           4
547       Tache547                   160        9           4
548       Tache548                   272        9           9
549       Tache549                   493        5           7
550       Tache550                   442        5           0
551       Tache551                   364       10           3
552       Tache552                   113        4          10
553       Tache553                    49       10          10
554       Tache554                   113        1           5
555       Tache555                   384        2           7
556       Tache556                   156        5           1
557       Tache557                   254        9           4
558       Tache558                    80        8           4
559       Tache559                   306        3           4
560       Tache560                   231        1           0
561       Tache561                   371        6           2
562       Tache562                   299        6           4
563       Tache563                     7        2           9
564       Tache564                   145        6           5
565       Tache565                   392        8           1
566       Tache566                   224        7          10
567       Tache567                    60        7           8
568       Tache568                   356        3           6
569       Tache569                   441        5           7
570       Tache570                    87        6           1
571       Tache571                   241        5           4
572       Tache572                    38        1           3
573       Tache573                   112        1           8
574       Tache574                   453        6           8
575       Tache575                   417        9           4
576       Tache576                    20        3           1
577       Tache577                   223        5           1
578       Tache578                   265        3           9
579       Tache579                   142        8           3
580       Tache580                   439        9           1
581       Tache581                   131        9          10
582       Tache582                   299        4           2
583       Tache583                   256        4           8
584       Tache584                   313        5           8
585       Tache585                    80        5           2
586       Tache586                   469       10           7
587       Tache587                   160        5           6
588       Tache588                   482        9           5
589       Tache589                    82        4           6
590       Tache590                   467        1           5
591       Tache591                   348        9           8
592       Tache592                   357        2          10
593       Tache593                   455        6           7
594       Tache594                   431        4           4
595       Tache595                   261        1           2
596       Tache596                   352        9           1
597       Tache597                   254        1           4
598       Tache598                    59        2           9
599       Tache599                    21        3           6
600       Tache600                   476       10           6
601       Tache601                   152        1           0
602       Tache602                   280        4           1
603       Tache603                    94        6           9
604       Tache604                   256        2           3
605       Tache605                   238        2           5
606       Tache606                   227        9           1
607       Tache607                   302        8           7
608       Tache608                   183        8           2
609       Tache609                   361        5           4
610       Tache610                   158        6           5
611       Tache611                   159        7           3
612       Tache612                   301        8           6
613       Tache613                    32        1           1
614       Tache614                    98        4           4
615       Tache615                    70        9           0
616       Tache616                   415        4           5
617       Tache617                   294        3           8
618       Tache618                   367        4           7
619       Tache619                    90        6           9
620       Tache620                   422        4           4
621       Tache621                    52        9           2
622       Tache622                   418        2           8
623       Tache623                   158        4           0
624       Tache624                     1        1           8
625       Tache625                   117        8           8
626       Tache626                     1        5          10
627       Tache627                   120        7          10
628       Tache628                   155        5           3
629       Tache629                    23        6           3
630       Tache630                   165       10           2
631       Tache631                   109        6           7
632       Tache632                   160        9           6
633       Tache633                   254        1           1
634       Tache634                    63        2           2
635       Tache635                   241       10           3
636       Tache636                    57        8           1
637       Tache637                    10        2           0
638       Tache638                   122        3           1
639       Tache639                   455        6           3
640       Tache640                   285        6           1
641       Tache641                   380        5           3
642       Tache642                    76        1           7
643       Tache643                    20       10           7
644       Tache644                   113        6           3
645       Tache645                   194        7           7
646       Tache646                   149        8           6
647       Tache647                   390        4          10
648       Tache648                   254       10           7
649       Tache649                   144       10           2
650       Tache650                   351       10           0
651       Tache651                   400        4           7
652       Tache652                   105        2           2
653       Tache653                   419        4           6
654       Tache654                   208        7           8
655       Tache655                    59       10           8
656       Tache656                   422        5           6
657       Tache657                   323        6           1
658       Tache658                    57        8           0
659       Tache659                   124        4          10
660       Tache660                   343        3           9
661       Tache661                   341        4           3
662       Tache662                   305        4          10
663       Tache663                   188       10           5
664       Tache664                   353        8           6
665       Tache665                    47       10           5
666       Tache666                   210        8           5
667       Tache667                   335        4           4
668       Tache668                   221        9           0
669       Tache669                    67        5          10
670       Tache670                   135        4           3
671       Tache671                    57        8           9
672       Tache672                    19        1           9
673       Tache673                   244       10          10
674       Tache674                   342       10           2
675       Tache675                   399        1           5
676       Tache676                   493        8           4
677       Tache677                    43        5           7
678       Tache678                    57        5           3
679       Tache679                    49        9          10
680       Tache680                   234        1          10
681       Tache681                   213        1           2
682       Tache682                    85        7           7
683       Tache683                   417        4           0
684       Tache684                    33        4           7
685       Tache685                   141        3           3
686       Tache686                   219        2           9
687       Tache687                   289       10           9
688       Tache688                   109        3          10
689       Tache689                   160       10           3
690       Tache690                   208       10           1
691       Tache691                   131        6           7
692       Tache692                   478        2           2
693       Tache693                   321        9           6
694       Tache694                   156        6           3
695       Tache695                   303        1           5
696       Tache696                   131        2           0
697       Tache697                   460       10           7
698       Tache698                    21        8          10
699       Tache699                   359       10           8
700       Tache700                   446        3           5
701       Tache701                   498        5           7
702       Tache702                   289        6           7
703       Tache703                   157        5           4
704       Tache704                   495        3           3
705       Tache705                   163        9           1
706       Tache706                   457        5           6
707       Tache707                   175        5           0
708       Tache708                   143        9           0
709       Tache709                   205        3           0
710       Tache710                    39        6           7
711       Tache711                   309        5           6
712       Tache712                   223        5           3
713       Tache713                   434        1           7
714       Tache714                   475        3           5
715       Tache715                   477        5           0
716       Tache716                   213        7           3
717       Tache717                   357        4           3
718       Tache718                   331        6           4
719       Tache719                   218        1           5
720       Tache720                   277        4           2
721       Tache721                   123       10           7
722       Tache722                   295        6           3
723       Tache723                    80        8           5
724       Tache724                   478        9           7
725       Tache725                     9       10           9
726       Tache726                   292        2           3
727       Tache727                   189        6           3
728       Tache728                   410        1           4
729       Tache729                   144        5           5
730       Tache730                     6        8           7
731       Tache731                     8        6           4
732       Tache732                   186       10           1
733       Tache733                   479        6           8
734       Tache734                   445        3           0
735       Tache735                   373        2           4
736       Tache736                   284        6           0
737       Tache737                   244        9           9
738       Tache738                   421        8           9
739       Tache739                   171        7           1
740       Tache740                   151        4           4
741       Tache741                   454        5           8
742       Tache742                   216        7           7
743       Tache743                   458        5           2
744       Tache744                   155        8           4
745       Tache745                   403        4          10
746       Tache746                   240        5           9
747       Tache747                   315        2           4
748       Tache748                   479        8           1
749       Tache749                   107        7           6
750       Tache750                   254        8           9
751       Tache751                   214        9           3
752       Tache752                   298        2           7
753       Tache753                    49        9           1
754       Tache754                   294        7           3
755       Tache755                    11        2          10
756       Tache756                   134        5           0
757       Tache757                   345        7           2
758       Tache758                   452        6           5
759       Tache759                   446        7           9
760       Tache760                   390        6           1
761       Tache761                   438        2           2
762       Tache762                    26        5           7
763       Tache763                   261        6           8
764       Tache764                   126        4           2
765       Tache765                   156        5           5
766       Tache766                   318        8           1
767       Tache767                   363       10           9
768       Tache768                   124        3          10
769       Tache769                   342        1           9
770       Tache770                   385        3           8
771       Tache771                   353       10           4
772       Tache772                   186        1           2
773       Tache773                   111        9           4
774       Tache774                   499        9           4
775       Tache775                   158        4           5
776       Tache776                   473        6           8
777       Tache777                   301        5           2
778       Tache778                   146        9           4
779       Tache779                   346        9           3
780       Tache780                    12        8           4
781       Tache781                   379        9           3
782       Tache782                   217        3           8
783       Tache783                   479        5           1
784       Tache784                   196        6           6
785       Tache785                   439        3           2
786       Tache786                   164        8           3
787       Tache787                   156       10           8
788       Tache788                   152        7           4
789       Tache789                   392        1           1
790       Tache790                   424        4           8
791       Tache791                   415        4           1
792       Tache792                    31        5           8
793       Tache793                   248        5           9
794       Tache794                   114        6           4
795       Tache795                   238        4           4
796       Tache796                    61       10           2
797       Tache797                   483        7           3
798       Tache798                   124        8           3
799       Tache799                   405        6           3
800       Tache800                   494        4           9
801       Tache801                   100        9           7
802       Tache802                   284        7           5
803       Tache803                   484        3           8
804       Tache804                   363        1           1
805       Tache805                    27        2           7
806       Tache806                   232        5           4
807       Tache807                    26        7           7
808       Tache808                   176        3           4
809       Tache809                   441        7           4
810       Tache810                    38        3           9
811       Tache811                   473        1          10
812       Tache812                   133        7           5
813       Tache813                   116        6           2
814       Tache814                   151        7           6
815       Tache815                   218        8           1
816       Tache816                   457        9           5
817       Tache817                   259       10           4
818       Tache818                    64        1           9
819       Tache819                   306        2           8
820       Tache820                    79        6          10
821       Tache821                    25        8           7
822       Tache822                   219       10           9
823       Tache823                    18        3           6
824       Tache824                   369        5          10
825       Tache825                    34        1           5
826       Tache826                   284        3           6
827       Tache827                   110        2           3
828       Tache828                    94        8           1
829       Tache829                   379        1           6
830       Tache830                   339       10           7
831       Tache831                   303        8           7
832       Tache832                   378       10           6
833       Tache833                    15        9           8
834       Tache834                   136        3           6
835       Tache835                   116        7           2
836       Tache836                    29        3          10
837       Tache837                   170       10           0
838       Tache838                   323        8           9
839       Tache839                   241        7           3
840       Tache840                   303        5          10
841       Tache841                   292        8           8
842       Tache842                   244        9           8
843       Tache843                   496        7           6
844       Tache844                   107        4           9
845       Tache845                   471        3           7
846       Tache846                   462        7           8
847       Tache847                    73        5           9
848       Tache848                   335        2           4
849       Tache849                    35        7           2
850       Tache850                   472        5           3
851       Tache851                   376       10          10
852       Tache852                   104        7           4
853       Tache853                   109        9           5
854       Tache854                   181        8           2
855       Tache855                   285        8           2
856       Tache856                   400        5           3
857       Tache857                   171        3           7
858       Tache858                   478       10           9
859       Tache859                    77        4           1
860       Tache860                   467        2           7
861       Tache861                   356        4          10
862       Tache862                   226        4           3
863       Tache863                   137        4           8
864       Tache864                   498        2           4
865       Tache865                   153        3           0
866       Tache866                    34        8          10
867       Tache867                     6       10          10
868       Tache868                   457        4           3
869       Tache869                    37        2           5
870       Tache870                     7        1           8
871       Tache871                   287       10           7
872       Tache872                   124        5           0
873       Tache873                   173        3           5
874       Tache874                   463        8           0
875       Tache875                   244        1           9
876       Tache876                   288        1           3
877       Tache877                   390        8           3
878       Tache878                   153        1           8
879       Tache879                   218        4           4
880       Tache880                    65        6           3
881       Tache881                   266        8           7
882       Tache882                   121        2           9
883       Tache883                   347       10           5
884       Tache884                   109        1          10
885       Tache885                   238        6           4
886       Tache886                   155        3           0
887       Tache887                   116        3           3
888       Tache888                   315        5           8
889       Tache889                   462        6           7
890       Tache890                   493        4           2
891       Tache891                   430        8           7
892       Tache892                   224        2           2
893       Tache893                   212        8           2
894       Tache894                   486        4           2
895       Tache895                   284        4           8
896       Tache896                   319        9           3
897       Tache897                   332        7           9
898       Tache898                    65        7           3
899       Tache899                   450        3           8
900       Tache900                    81       10           2
901       Tache901                   242        7           7
902       Tache902                    67        2           6
903       Tache903                   287        8           8
904       Tache904                   146        7           7
905       Tache905                   411        9           3
906       Tache906                   286        4           5
907       Tache907                   352        6           0
908       Tache908                   394        2           8
909       Tache909                   396        5          10
910       Tache910                   106        7           8
911       Tache911                    17        7           0
912       Tache912                   282        8           2
913       Tache913                   192        5           3
914       Tache914                   462        6           4
915       Tache915                   196        5           8
916       Tache916                   217        6           5
917       Tache917                   402        1           7
918       Tache918                   327        4           6
919       Tache919                   224        9           7
920       Tache920                   420        8           6
921       Tache921                   318        7           4
922       Tache922                   383        2           2
923       Tache923                   213       10           8
924       Tache924                    18        1           4
925       Tache925                   237        8           9
926       Tache926                   105        9           5
927       Tache927                   290        1           8
928       Tache928                   117        4           4
929       Tache929                   158        9           3
930       Tache930                    69        8           0
931       Tache931                    84        3           5
932       Tache932                   404        7           9
933       Tache933                   371        7           6
934       Tache934                   167        8          10
935       Tache935                   450        8           7
936       Tache936                   372        4           0
937       Tache937                   163       10           8
938       Tache938                   443        4           5
939       Tache939                   245       10           4
940       Tache940                   209        7           7
941       Tache941                    86        1           8
942       Tache942                     3        3           2
943       Tache943                   397        4           7
944       Tache944                    36        2           1
945       Tache945                   338        4           0
946       Tache946                   148        9           3
947       Tache947                   295        5           1
948       Tache948                   389        9          10
949       Tache949                   406        1           0
950       Tache950                   328        7           2
951       Tache951                   389        5           4
952       Tache952                   287        7          10
953       Tache953                     7        9           5
954       Tache954                   434        4           2
955       Tache955                    84       10           6
956       Tache956                    85        1           0
957       Tache957                   483        7          10
958       Tache958                   248        4           0
959       Tache959                   123        8           4
960       Tache960                   314        6           6
961       Tache961                   475        2           3
962       Tache962                   182        5           0
963       Tache963                    16        1           0
964       Tache964                   485        1           8
965       Tache965                   204        7          10
966       Tache966                    33        1           8
967       Tache967                   273        8           5
968       Tache968                   347        8           9
969       Tache969                     8       10           0
970       Tache970                   258        5           6
971       Tache971                     2        6           9
972       Tache972                   435        9          10
973       Tache973                   153        5           2
974       Tache974                   161        2           2
975       Tache975                   246        9           5
976       Tache976                   269       10           2
977       Tache977                   101        6           0
978       Tache978                   256        5           8
979       Tache979                    34        3           4
980       Tache980                   131        7           3
981       Tache981                   195        1           1
982       Tache982                   435        7           4
983       Tache983                    91        3           2
984       Tache984                    14        7           6
985       Tache985                    26        7           1
986       Tache986                   341        3           5
987       Tache987                   304        4           8
988       Tache988                   473        4          10
989       Tache989                   212        7          10
990       Tache990                    57        9           9
991       Tache991                   343        7           7
992       Tache992                   347        9           4
993       Tache993                   360       10           0
994       Tache994                   423        7           1
995       Tache995                   243        1           4
